n,ellos,recursivo,dp
1,8.00006091594696e-07,3.200024366378784e-06,2.700020559132099e-06
3,5.00003807246685e-07,2.500019036233425e-06,1.999898813664913e-06
5,1.00000761449337e-06,5.100038833916187e-06,2.300017513334751e-06
7,1.9000144675374031e-06,1.179997343569994e-05,2.800021320581436e-06
9,4.399917088449001e-06,2.9999995604157448e-05,3.300025127828121e-06
11,1.209997572004795e-05,7.700000423938036e-05,3.900029696524143e-06
13,2.859998494386673e-05,0.00023740006145089865,4.799920134246349e-06
15,7.339997682720423e-05,0.0005061000119894743,5.600042641162872e-06
17,0.00018860003910958767,0.0027033999795094132,2.6699970476329327e-05
19,0.0014678000006824732,0.004717999952845275,1.3199984095990658e-05
21,0.001283199992030859,0.010087799979373813,1.3899989426136017e-05
23,0.0034293000353500247,0.03637180000077933,2.519995905458927e-05
25,0.01309729996137321,0.08535609999671578,1.5600002370774746e-05
27,0.02325970004312694,0.18901659990660846,1.6200006939470768e-05
29,0.07495899999048561,0.6113591999746859,1.6900012269616127e-05
31,0.19838850002270192,1.457920299959369,1.9000028260052204e-05
33,0.4975568999070674,3.7018228999804705,3.400002606213093e-05
35,1.3852961999364197,10.235165699967183,2.2000051103532314e-05
37,6.798150399932638,49.22424490004778,2.310005947947502e-05
39,9.434060100000352,87.85133589990437,4.5900000259280205e-05
